channel,size,invocations-lambda,value_type,value
storage,1,100,producer_times,139978
storage,1,100,producer_times,78673
storage,1,100,producer_times,68324
storage,1,100,producer_times,94621
storage,1,100,producer_times,86568
storage,1,100,producer_times,107976
storage,1,100,producer_times,58466
storage,1,100,producer_times,81189
storage,1,100,producer_times,93874
storage,1,100,producer_times,67910
storage,1,100,producer_times,63787
storage,1,100,producer_times,77994
storage,1,100,producer_times,63849
storage,1,100,producer_times,88956
storage,1,100,producer_times,66945
storage,1,100,producer_times,70449
storage,1,100,producer_times,84712
storage,1,100,producer_times,65576
storage,1,100,producer_times,76385
storage,1,100,producer_times,76809
storage,1,100,producer_times,74654
storage,1,100,producer_times,100960
storage,1,100,producer_times,85620
storage,1,100,producer_times,94960
storage,1,100,producer_times,84610
storage,1,100,producer_times,82364
storage,1,100,producer_times,65019
storage,1,100,producer_times,91853
storage,1,100,producer_times,93671
storage,1,100,producer_times,68647
storage,1,100,producer_times,86847
storage,1,100,producer_times,65294
storage,1,100,producer_times,71773
storage,1,100,producer_times,113144
storage,1,100,producer_times,82258
storage,1,100,producer_retries,3
storage,1,100,producer_retries,4
storage,1,100,producer_retries,8
storage,1,100,producer_retries,4
storage,1,100,producer_retries,3
storage,1,100,producer_retries,3
storage,1,100,producer_retries,4
storage,1,100,producer_retries,4
storage,1,100,producer_retries,2
storage,1,100,producer_retries,4
storage,1,100,producer_retries,4
storage,1,100,producer_retries,4
storage,1,100,producer_retries,3
storage,1,100,producer_retries,3
storage,1,100,producer_retries,2
storage,1,100,producer_retries,3
storage,1,100,producer_retries,3
storage,1,100,producer_retries,4
storage,1,100,producer_retries,4
storage,1,100,producer_retries,4
storage,1,100,producer_retries,4
storage,1,100,producer_retries,5
storage,1,100,producer_retries,3
storage,1,100,producer_retries,5
storage,1,100,producer_retries,2
storage,1,100,producer_retries,4
storage,1,100,producer_retries,3
storage,1,100,producer_retries,3
storage,1,100,producer_retries,4
storage,1,100,producer_retries,0
storage,1,100,producer_retries,3
storage,1,100,producer_retries,3
storage,1,100,producer_retries,2
storage,1,100,producer_retries,7
storage,1,100,producer_retries,3
storage,1,100,producer_retries,4
storage,1,100,producer_retries,3
storage,1,100,producer_retries,3
