channel,size,invocations-lambda,value_type,value
storage,2097152,100,consumer_retries,10.0
storage,2097152,100,consumer_retries,20.0
storage,2097152,100,consumer_retries,10.0
storage,2097152,100,consumer_retries,10.0
storage,2097152,100,consumer_retries,17.0
storage,2097152,100,consumer_retries,9.0
storage,2097152,100,consumer_retries,14.0
storage,2097152,100,consumer_retries,7.0
storage,2097152,100,consumer_retries,12.0
storage,2097152,100,consumer_retries,10.0
storage,2097152,100,consumer_retries,11.0
storage,2097152,100,consumer_retries,11.0
storage,2097152,100,consumer_retries,15.0
storage,2097152,100,consumer_retries,11.0
storage,2097152,100,consumer_retries,7.0
storage,2097152,100,consumer_retries,15.0
storage,2097152,100,consumer_retries,13.0
storage,2097152,100,consumer_retries,9.0
storage,2097152,100,consumer_retries,9.0
storage,2097152,100,consumer_retries,10.0
storage,2097152,100,consumer_retries,17.0
storage,2097152,100,consumer_retries,10.0
storage,2097152,100,consumer_retries,17.0
storage,2097152,100,consumer_retries,11.0
storage,2097152,100,consumer_retries,16.0
storage,2097152,100,consumer_retries,8.0
storage,2097152,100,consumer_retries,6.0
storage,2097152,100,consumer_retries,5.0
storage,2097152,100,consumer_retries,14.0
storage,2097152,100,consumer_retries,12.0
storage,2097152,100,consumer_retries,4.0
storage,2097152,100,consumer_retries,14.0
storage,2097152,100,consumer_retries,2.0
storage,2097152,100,consumer_retries,9.0
storage,2097152,100,consumer_retries,11.0
storage,2097152,100,consumer_retries,13.0
storage,2097152,100,consumer_retries,7.0
storage,2097152,100,consumer_retries,11.0
storage,2097152,100,consumer_retries,9.0
storage,2097152,100,consumer_retries,11.0
storage,2097152,100,consumer_retries,12.0
storage,2097152,100,consumer_retries,9.0
storage,2097152,100,consumer_retries,8.0
storage,2097152,100,consumer_retries,12.0
storage,2097152,100,consumer_retries,12.0
storage,2097152,100,consumer_retries,11.0
storage,2097152,100,consumer_retries,13.0
storage,2097152,100,consumer_retries,15.0
storage,2097152,100,consumer_retries,15.0
storage,2097152,100,consumer_retries,10.0
storage,2097152,100,consumer_retries,12.0
storage,2097152,100,consumer_retries,15.0
storage,2097152,100,consumer_retries,13.0
storage,2097152,100,consumer_retries,15.0
storage,2097152,100,consumer_retries,11.0
storage,2097152,100,consumer_retries,10.0
storage,2097152,100,consumer_retries,9.0
storage,2097152,100,consumer_retries,13.0
storage,2097152,100,consumer_retries,11.0
storage,2097152,100,consumer_retries,13.0
storage,2097152,100,consumer_retries,18.0
storage,2097152,100,consumer_retries,10.0
storage,2097152,100,consumer_retries,11.0
storage,2097152,100,consumer_retries,10.0
storage,2097152,100,consumer_retries,14.0
storage,2097152,100,consumer_retries,17.0
storage,2097152,100,consumer_retries,11.0
storage,2097152,100,consumer_retries,17.0
storage,2097152,100,consumer_retries,8.0
storage,2097152,100,consumer_retries,11.0
storage,2097152,100,consumer_retries,10.0
storage,2097152,100,consumer_retries,13.0
storage,2097152,100,consumer_retries,12.0
storage,2097152,100,consumer_retries,9.0
storage,2097152,100,consumer_retries,17.0
storage,2097152,100,consumer_retries,14.0
storage,2097152,100,consumer_retries,12.0
storage,2097152,100,consumer_retries,11.0
storage,2097152,100,consumer_retries,11.0
storage,2097152,100,consumer_retries,14.0
storage,2097152,100,consumer_retries,15.0
storage,2097152,100,consumer_retries,12.0
storage,2097152,100,consumer_retries,14.0
storage,2097152,100,consumer_retries,6.0
storage,2097152,100,consumer_retries,11.0
storage,2097152,100,consumer_retries,14.0
storage,2097152,100,consumer_retries,18.0
storage,2097152,100,consumer_retries,15.0
storage,2097152,100,consumer_retries,10.0
storage,2097152,100,consumer_retries,10.0
storage,2097152,100,consumer_retries,8.0
storage,2097152,100,consumer_retries,9.0
storage,2097152,100,consumer_retries,12.0
storage,2097152,100,consumer_retries,16.0
storage,2097152,100,consumer_retries,17.0
storage,2097152,100,consumer_retries,10.0
storage,2097152,100,consumer_retries,13.0
storage,2097152,100,consumer_retries,10.0
storage,2097152,100,consumer_retries,10.0
storage,2097152,100,consumer_retries,13.0
storage,2097152,100,producer_times,340570.0
storage,2097152,100,producer_times,303039.0
storage,2097152,100,producer_times,301817.0
storage,2097152,100,producer_times,284734.0
storage,2097152,100,producer_times,294859.0
storage,2097152,100,producer_times,234543.0
storage,2097152,100,producer_times,255697.0
storage,2097152,100,producer_times,202749.0
storage,2097152,100,producer_times,237575.0
storage,2097152,100,producer_times,274151.0
storage,2097152,100,producer_times,319981.0
storage,2097152,100,producer_times,293979.0
storage,2097152,100,producer_times,281812.0
storage,2097152,100,producer_times,228985.0
storage,2097152,100,producer_times,192591.0
storage,2097152,100,producer_times,262740.0
storage,2097152,100,producer_times,228336.0
storage,2097152,100,producer_times,332555.0
storage,2097152,100,producer_times,230714.0
storage,2097152,100,producer_times,268876.0
storage,2097152,100,producer_times,273358.0
storage,2097152,100,producer_times,313382.0
storage,2097152,100,producer_times,378756.0
storage,2097152,100,producer_times,226399.0
storage,2097152,100,producer_times,382030.0
storage,2097152,100,producer_times,242636.0
storage,2097152,100,producer_times,186354.0
storage,2097152,100,producer_times,215516.0
storage,2097152,100,producer_times,270043.0
storage,2097152,100,producer_times,244873.0
storage,2097152,100,producer_times,250531.0
storage,2097152,100,producer_times,257957.0
storage,2097152,100,producer_times,189070.0
storage,2097152,100,producer_times,288301.0
storage,2097152,100,producer_times,267886.0
storage,2097152,100,producer_times,375089.0
storage,2097152,100,producer_times,282253.0
storage,2097152,100,producer_times,272768.0
storage,2097152,100,producer_times,238896.0
storage,2097152,100,producer_times,261635.0
storage,2097152,100,producer_times,268467.0
storage,2097152,100,producer_times,272282.0
storage,2097152,100,producer_times,223382.0
storage,2097152,100,producer_times,303436.0
storage,2097152,100,producer_times,276141.0
storage,2097152,100,producer_times,332369.0
storage,2097152,100,producer_times,238133.0
storage,2097152,100,producer_times,303690.0
storage,2097152,100,producer_times,355452.0
storage,2097152,100,producer_times,257848.0
storage,2097152,100,producer_times,281023.0
storage,2097152,100,producer_times,299033.0
storage,2097152,100,producer_times,271751.0
storage,2097152,100,producer_times,273081.0
storage,2097152,100,producer_times,260347.0
storage,2097152,100,producer_times,312035.0
storage,2097152,100,producer_times,249045.0
storage,2097152,100,producer_times,416389.0
storage,2097152,100,producer_times,262931.0
storage,2097152,100,producer_times,245128.0
storage,2097152,100,producer_times,364509.0
storage,2097152,100,producer_times,265419.0
storage,2097152,100,producer_times,281088.0
storage,2097152,100,producer_times,258576.0
storage,2097152,100,producer_times,298427.0
storage,2097152,100,producer_times,214442.0
storage,2097152,100,producer_times,206187.0
storage,2097152,100,producer_times,307266.0
storage,2097152,100,producer_times,241672.0
storage,2097152,100,producer_times,286521.0
storage,2097152,100,producer_times,294854.0
storage,2097152,100,producer_times,322341.0
storage,2097152,100,producer_times,284715.0
storage,2097152,100,producer_times,244844.0
storage,2097152,100,producer_times,351463.0
storage,2097152,100,producer_times,274932.0
storage,2097152,100,producer_times,282934.0
storage,2097152,100,producer_times,252681.0
storage,2097152,100,producer_times,273284.0
storage,2097152,100,producer_times,275075.0
storage,2097152,100,producer_times,273141.0
storage,2097152,100,producer_times,253397.0
storage,2097152,100,producer_times,281627.0
storage,2097152,100,producer_times,227544.0
storage,2097152,100,producer_times,256612.0
storage,2097152,100,producer_times,313584.0
storage,2097152,100,producer_times,315681.0
storage,2097152,100,producer_times,238638.0
storage,2097152,100,producer_times,303564.0
storage,2097152,100,producer_times,248389.0
storage,2097152,100,producer_times,251024.0
storage,2097152,100,producer_times,248907.0
storage,2097152,100,producer_times,286169.0
storage,2097152,100,producer_times,287581.0
storage,2097152,100,producer_times,279554.0
storage,2097152,100,producer_times,240552.0
storage,2097152,100,producer_times,274474.0
storage,2097152,100,producer_times,297686.0
storage,2097152,100,producer_times,278491.0
storage,2097152,100,producer_times,284994.0
storage,2097152,100,producer_retries,16.0
storage,2097152,100,producer_retries,15.0
storage,2097152,100,producer_retries,13.0
storage,2097152,100,producer_retries,7.0
storage,2097152,100,producer_retries,10.0
storage,2097152,100,producer_retries,12.0
storage,2097152,100,producer_retries,6.0
storage,2097152,100,producer_retries,10.0
storage,2097152,100,producer_retries,10.0
storage,2097152,100,producer_retries,9.0
storage,2097152,100,producer_retries,15.0
storage,2097152,100,producer_retries,12.0
storage,2097152,100,producer_retries,11.0
storage,2097152,100,producer_retries,10.0
storage,2097152,100,producer_retries,9.0
storage,2097152,100,producer_retries,10.0
storage,2097152,100,producer_retries,10.0
storage,2097152,100,producer_retries,17.0
storage,2097152,100,producer_retries,9.0
storage,2097152,100,producer_retries,11.0
storage,2097152,100,producer_retries,8.0
storage,2097152,100,producer_retries,11.0
storage,2097152,100,producer_retries,14.0
storage,2097152,100,producer_retries,10.0
storage,2097152,100,producer_retries,16.0
storage,2097152,100,producer_retries,11.0
storage,2097152,100,producer_retries,11.0
storage,2097152,100,producer_retries,4.0
storage,2097152,100,producer_retries,9.0
storage,2097152,100,producer_retries,11.0
storage,2097152,100,producer_retries,11.0
storage,2097152,100,producer_retries,9.0
storage,2097152,100,producer_retries,6.0
storage,2097152,100,producer_retries,20.0
storage,2097152,100,producer_retries,9.0
storage,2097152,100,producer_retries,14.0
storage,2097152,100,producer_retries,12.0
storage,2097152,100,producer_retries,11.0
storage,2097152,100,producer_retries,12.0
storage,2097152,100,producer_retries,12.0
storage,2097152,100,producer_retries,10.0
storage,2097152,100,producer_retries,9.0
storage,2097152,100,producer_retries,10.0
storage,2097152,100,producer_retries,11.0
storage,2097152,100,producer_retries,11.0
storage,2097152,100,producer_retries,16.0
storage,2097152,100,producer_retries,9.0
storage,2097152,100,producer_retries,9.0
storage,2097152,100,producer_retries,13.0
storage,2097152,100,producer_retries,11.0
storage,2097152,100,producer_retries,10.0
storage,2097152,100,producer_retries,11.0
storage,2097152,100,producer_retries,9.0
storage,2097152,100,producer_retries,9.0
storage,2097152,100,producer_retries,10.0
storage,2097152,100,producer_retries,18.0
storage,2097152,100,producer_retries,14.0
storage,2097152,100,producer_retries,13.0
storage,2097152,100,producer_retries,13.0
storage,2097152,100,producer_retries,12.0
storage,2097152,100,producer_retries,14.0
storage,2097152,100,producer_retries,13.0
storage,2097152,100,producer_retries,17.0
storage,2097152,100,producer_retries,12.0
storage,2097152,100,producer_retries,11.0
storage,2097152,100,producer_retries,6.0
storage,2097152,100,producer_retries,7.0
storage,2097152,100,producer_retries,13.0
storage,2097152,100,producer_retries,13.0
storage,2097152,100,producer_retries,15.0
storage,2097152,100,producer_retries,15.0
storage,2097152,100,producer_retries,10.0
storage,2097152,100,producer_retries,13.0
storage,2097152,100,producer_retries,11.0
storage,2097152,100,producer_retries,12.0
storage,2097152,100,producer_retries,13.0
storage,2097152,100,producer_retries,15.0
storage,2097152,100,producer_retries,13.0
storage,2097152,100,producer_retries,7.0
storage,2097152,100,producer_retries,12.0
storage,2097152,100,producer_retries,13.0
storage,2097152,100,producer_retries,12.0
storage,2097152,100,producer_retries,12.0
storage,2097152,100,producer_retries,13.0
storage,2097152,100,producer_retries,14.0
storage,2097152,100,producer_retries,10.0
storage,2097152,100,producer_retries,16.0
storage,2097152,100,producer_retries,6.0
storage,2097152,100,producer_retries,11.0
storage,2097152,100,producer_retries,9.0
storage,2097152,100,producer_retries,14.0
storage,2097152,100,producer_retries,10.0
storage,2097152,100,producer_retries,10.0
storage,2097152,100,producer_retries,9.0
storage,2097152,100,producer_retries,7.0
storage,2097152,100,producer_retries,13.0
storage,2097152,100,producer_retries,13.0
storage,2097152,100,producer_retries,13.0
storage,2097152,100,producer_retries,14.0
storage,2097152,100,producer_retries,10.0
storage,2097152,100,consumer_retries,11.0
storage,2097152,100,consumer_retries,13.0
storage,2097152,100,consumer_retries,11.0
storage,2097152,100,consumer_retries,9.0
storage,2097152,100,consumer_retries,14.0
storage,2097152,100,consumer_retries,13.0
storage,2097152,100,consumer_retries,11.0
storage,2097152,100,consumer_retries,19.0
storage,2097152,100,consumer_retries,11.0
storage,2097152,100,consumer_retries,10.0
storage,2097152,100,consumer_retries,19.0
storage,2097152,100,consumer_retries,13.0
storage,2097152,100,consumer_retries,14.0
storage,2097152,100,consumer_retries,10.0
storage,2097152,100,consumer_retries,13.0
storage,2097152,100,consumer_retries,13.0
storage,2097152,100,consumer_retries,9.0
storage,2097152,100,consumer_retries,17.0
storage,2097152,100,consumer_retries,16.0
storage,2097152,100,consumer_retries,18.0
storage,2097152,100,consumer_retries,15.0
storage,2097152,100,consumer_retries,6.0
storage,2097152,100,consumer_retries,7.0
storage,2097152,100,consumer_retries,4.0
storage,2097152,100,consumer_retries,14.0
storage,2097152,100,consumer_retries,16.0
storage,2097152,100,consumer_retries,15.0
storage,2097152,100,consumer_retries,10.0
storage,2097152,100,consumer_retries,14.0
storage,2097152,100,consumer_retries,15.0
storage,2097152,100,consumer_retries,14.0
storage,2097152,100,consumer_retries,16.0
storage,2097152,100,consumer_retries,19.0
storage,2097152,100,consumer_retries,12.0
storage,2097152,100,consumer_retries,0.0
storage,2097152,100,consumer_retries,17.0
storage,2097152,100,consumer_retries,9.0
storage,2097152,100,consumer_retries,13.0
storage,2097152,100,consumer_retries,17.0
storage,2097152,100,consumer_retries,15.0
storage,2097152,100,consumer_retries,23.0
storage,2097152,100,consumer_retries,13.0
storage,2097152,100,consumer_retries,12.0
storage,2097152,100,consumer_retries,13.0
storage,2097152,100,consumer_retries,15.0
storage,2097152,100,consumer_retries,12.0
storage,2097152,100,consumer_retries,13.0
storage,2097152,100,consumer_retries,14.0
storage,2097152,100,consumer_retries,11.0
storage,2097152,100,consumer_retries,9.0
storage,2097152,100,consumer_retries,13.0
storage,2097152,100,consumer_retries,14.0
storage,2097152,100,consumer_retries,8.0
storage,2097152,100,consumer_retries,8.0
storage,2097152,100,consumer_retries,26.0
storage,2097152,100,consumer_retries,14.0
storage,2097152,100,consumer_retries,14.0
storage,2097152,100,consumer_retries,12.0
storage,2097152,100,consumer_retries,11.0
storage,2097152,100,consumer_retries,14.0
storage,2097152,100,consumer_retries,18.0
storage,2097152,100,consumer_retries,16.0
storage,2097152,100,consumer_retries,12.0
storage,2097152,100,consumer_retries,16.0
storage,2097152,100,consumer_retries,13.0
storage,2097152,100,consumer_retries,13.0
storage,2097152,100,consumer_retries,10.0
storage,2097152,100,consumer_retries,11.0
storage,2097152,100,consumer_retries,12.0
storage,2097152,100,consumer_retries,5.0
storage,2097152,100,consumer_retries,13.0
storage,2097152,100,consumer_retries,18.0
storage,2097152,100,consumer_retries,15.0
storage,2097152,100,consumer_retries,8.0
storage,2097152,100,consumer_retries,8.0
storage,2097152,100,consumer_retries,16.0
storage,2097152,100,consumer_retries,11.0
storage,2097152,100,consumer_retries,16.0
storage,2097152,100,consumer_retries,8.0
storage,2097152,100,consumer_retries,14.0
storage,2097152,100,consumer_retries,7.0
storage,2097152,100,consumer_retries,14.0
storage,2097152,100,consumer_retries,19.0
storage,2097152,100,consumer_retries,9.0
storage,2097152,100,consumer_retries,14.0
storage,2097152,100,consumer_retries,18.0
storage,2097152,100,consumer_retries,7.0
storage,2097152,100,consumer_retries,12.0
storage,2097152,100,consumer_retries,14.0
storage,2097152,100,consumer_retries,11.0
storage,2097152,100,consumer_retries,6.0
storage,2097152,100,consumer_retries,17.0
storage,2097152,100,consumer_retries,11.0
storage,2097152,100,consumer_retries,17.0
storage,2097152,100,consumer_retries,10.0
storage,2097152,100,consumer_retries,11.0
storage,2097152,100,consumer_retries,10.0
storage,2097152,100,consumer_retries,26.0
storage,2097152,100,consumer_retries,14.0
storage,2097152,100,consumer_retries,13.0
storage,2097152,100,producer_times,257671.0
storage,2097152,100,producer_times,242950.0
storage,2097152,100,producer_times,259797.0
storage,2097152,100,producer_times,212312.0
storage,2097152,100,producer_times,243997.0
storage,2097152,100,producer_times,284113.0
storage,2097152,100,producer_times,271105.0
storage,2097152,100,producer_times,248991.0
storage,2097152,100,producer_times,255707.0
storage,2097152,100,producer_times,262345.0
storage,2097152,100,producer_times,280936.0
storage,2097152,100,producer_times,262939.0
storage,2097152,100,producer_times,247694.0
